"id","productName","price","description","picture","stock","categoryId"
20,Cotton Candy,100,"A sweet and soft bouquet, like cotton candy clouds at a fair. With pastel shades of pink and white, this bouquet evokes a feeling of nostalgia and happiness, perfect for any occasion that needs a touch of joy.",https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/bouquets%2Fopcion%20ramo%202.png?alt=media&token=3b4bebe0-01b9-481d-8266-feb7ab2a5b15,4,1
21,Pinutbutter,45.2," A delicious combination of flowers and colors that harmoniously come together to create a soft and sweet bouquet, just like peanut butter.",https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/bouquets%2Fopcion%20ramo%2011.png?alt=media&token=03351c9e-10e7-4c94-8643-ef6b7f37c4d0,5,1
22,Pink Cloud,53.1,"A soft and fluffy bouquet that looks like it's been taken out of a dream. With pink and white tones, this bouquet evokes the feeling of floating on a cloud.",https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/bouquets%2Fopcion%20ramo%2010.png?alt=media&token=fa33be50-80ae-407e-8741-dfad3b2e3266,3,1
24,Scorching Hug,60.99,An explosion of color and heat that tightly embraces you. This bouquet is composed of red and orange tones that exude energy and passion.,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/bouquets%2Fopcion%20ramo%201.png?alt=media&token=7058c7a1-c124-41bf-a450-46e93841eb70,4,1
1,Hot Mamma,37.5, A vibrant and bold bouquet that overflows with confidence and sensuality. Fuchsia and red tones combine to create a bouquet that won't go unnoticed.,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/bouquets%2Fopcion%20ramo%204.png?alt=media&token=03d3dc0f-f679-48d7-a63d-cf57346fcd28,5,1
19,Spring Nigths,79.8,A mysterious and elegant bouquet that evokes the tranquility of a spring night. Purple and blue tones combine in a bouquet that will make you daydream.,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/bouquets%2Fopcion%20ramo%2012.png?alt=media&token=cea19df6-7ec6-41e3-b6f0-461b3c5d3e79,20,1
3,Love Lourself,18.43,A self-care plant that reminds us to prioritize our own well-being and happiness. Its lush foliage and vibrant blooms remind us to nurture ourselves and treat ourselves with kindness and compassion.,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/plants%2Fplanta%2011.png?alt=media&token=ff26d7d3-2c99-47b0-b988-4e3d7bb74414,2,4
14,Burning Brither,41.1,A fiery and energetic bouquet that will light you up from the inside. Red and orange tones come together in a bouquet that will make you feel alive and vibrant.,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/bouquets%2Fopcion%20ramo%205.png?alt=media&token=a3800d02-cea6-4353-9e70-42b89bcf9d13,13,1
15,Feeling Myself,72.93,A bouquet full of confidence and self-assurance. Pink and red tones come together in a bouquet that will make you feel strong and powerful.,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/bouquets%2Fopcion%20ramo%206.png?alt=media&token=f46a894b-9d6c-4b61-9903-21f7bc45f096,14,1
16,Piquito,39.62,A small but powerful bouquet that overflows with sweetness and tenderness. Pink and white tones combine to create a bouquet that will make you smile.,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/bouquets%2Fopcion%20ramo%207.png?alt=media&token=b5f6c0d7-5c66-4ac6-bb7f-0f39bccca1dc,15,1
